gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022500123,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:11 PM EST),period,start,1,0,1
0022500123,4,PT12M00.00S,1,1610612764,WAS,1642259,Sarr,A. Sarr,0,0,0,,0,,,0,h,Jump Ball Sarr vs. Oubre Jr.: Tip to Edgecombe,Jump Ball,,1,0,2
0022500123,7,PT11M45.00S,1,1610612764,WAS,1642259,Sarr,A. Sarr,0,0,0,,0,,,0,h,Sarr S.FOUL (P1.T1) (J.DeRosa),Foul,Shooting,1,0,3
0022500123,9,PT11M45.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,0,0,0,,0,0,1,1,v,Embiid Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,4
0022500123,10,PT11M45.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,0,0,0,,0,,,0,v,MISS Embiid Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,5
0022500123,11,PT11M42.00S,1,1610612764,WAS,1642273,George,K. George,0,0,0,,0,,,0,h,George REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,6
0022500123,12,PT11M29.00S,1,1610612764,WAS,203114,Middleton,K. Middleton,-17,8,2,Made,1,2,1,3,h,Middleton 2' Driving Layup (2 PTS) (McCollum 1 AST),Made Shot,Driving Layup Shot,1,2,7
0022500123,14,PT11M10.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,-188,163,25,Made,1,2,4,6,v,Maxey 25' 3PT Step Back Jump Shot (3 PTS) (Oubre Jr. 1 AST),Made Shot,Step Back Jump shot,1,3,8
0022500123,16,PT10M59.00S,1,1610612764,WAS,203468,McCollum,C. McCollum,-29,94,10,Missed,1,,,0,h,MISS McCollum 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,9
0022500123,17,PT10M55.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,,,0,v,Maxey REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,10
