gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022500628,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:11 PM EST),period,start,1,0,1
0022500628,4,PT12M00.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,0,0,0,,0,,,0,h,Jump Ball Embiid vs. Sengun: Tip to Oubre Jr.,Jump Ball,,1,0,2
0022500628,7,PT11M46.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,100,258,28,Missed,1,,,0,h,MISS Maxey 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,3
0022500628,8,PT11M45.00S,1,1610612745,HOU,201142,Durant,K. Durant,0,0,0,,0,,,0,v,Durant REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4
0022500628,9,PT11M25.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,0,0,0,,0,,,0,v,Sengun Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,5
0022500628,9,PT11M25.00S,1,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,,,0,h,Edgecombe STEAL (1 STL),,,1,0,6
0022500628,11,PT11M22.00S,1,1610612755,PHI,202331,George,P. George,7,-1,1,Made,1,2,0,2,h,George 1' Running Dunk (2 PTS),Made Shot,Running Dunk Shot,1,2,7
0022500628,12,PT11M04.00S,1,1610612745,HOU,1641708,Thompson,A. Thompson,-7,-7,1,Made,1,2,2,4,v,Thompson 1' Dunk (2 PTS),Made Shot,Dunk Shot,1,2,8
0022500628,13,PT10M50.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,-18,10,2,Missed,1,,,0,h,MISS Embiid 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,1,2,9
0022500628,14,PT10M48.00S,1,1610612745,HOU,1631095,Smith Jr.,J. Smith Jr.,0,0,0,,0,,,0,v,Smith Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,10
0022500628,15,PT10M44.00S,1,1610612745,HOU,201142,Durant,K. Durant,161,216,27,Made,1,2,5,7,v,Durant 27' 3PT Running Jump Shot (3 PTS) (Thompson 1 AST),Made Shot,Running Jump Shot,1,3,11
0022500628,17,PT10M44.00S,1,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,h,George S.FOUL (P1.T1) (N.Buchert),Foul,Shooting,1,0,12
0022500628,19,PT10M44.00S,1,1610612745,HOU,201142,Durant,K. Durant,0,0,0,,0,2,6,8,v,Durant Free Throw 1 of 1 (4 PTS),Free Throw,Free Throw 1 of 1,1,0,13
0022500628,20,PT10M27.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,18,11,2,Made,1,4,6,10,h,Oubre Jr. 2' Turnaround Jump Shot (2 PTS) (Edgecombe 1 AST),Made Shot,Turnaround Jump Shot,1,2,14
0022500628,21,PT10M13.00S,1,1610612745,HOU,1631095,Smith Jr.,J. Smith Jr.,228,85,24,Missed,1,,,0,v,MISS Smith Jr. 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,15
0022500628,22,PT10M12.00S,1,1610612745,HOU,1641708,Thompson,A. Thompson,0,0,0,,0,,,0,v,Thompson REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,16
0022500628,23,PT10M08.00S,1,1610612745,HOU,1631095,Smith Jr.,J. Smith Jr.,176,187,26,Missed,1,,,0,v,MISS Smith Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,17
0022500628,24,PT10M07.00S,1,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,h,George REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,18
0022500628,25,PT09M53.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,-224,10,0,Made,1,7,6,13,h,Oubre Jr. 3PT Jump Shot (5 PTS) (Embiid 1 AST),Made Shot,Jump Shot,1,3,19
0022500628,27,PT09M33.00S,1,1610612745,HOU,1631095,Smith Jr.,J. Smith Jr.,-71,4,7,Missed,1,,,0,v,MISS Smith Jr. 7' Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,2,20
0022500628,28,PT09M31.00S,1,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,h,George REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,21
0022500628,123,PT09M22.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,0,0,0,,0,,,0,h,Embiid Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,22
0022500628,123,PT09M22.00S,1,1610612745,HOU,1641708,Thompson,A. Thompson,0,0,0,,0,,,0,v,Thompson STEAL (1 STL),,,1,0,23
0022500628,31,PT09M15.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,12,8,1,Made,1,7,8,15,v,Sengun 1' Running Layup (2 PTS) (Thompson 2 AST),Made Shot,Running Layup Shot,1,2,24
0022500628,33,PT08M51.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,105,18,11,Missed,1,,,0,h,MISS Oubre Jr. 11' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,2,25
0022500628,34,PT08M49.00S,1,1610612745,HOU,201142,Durant,K. Durant,0,0,0,,0,,,0,v,Durant REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,26
0022500628,35,PT08M42.00S,1,1610612745,HOU,201142,Durant,K. Durant,48,258,26,Missed,1,,,0,v,MISS Durant 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,1,3,27
0022500628,36,PT08M41.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,0,0,0,,0,,,0,h,Embiid REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,28
0022500628,37,PT08M40.00S,1,1610612745,HOU,1629006,Okogie,J. Okogie,0,0,0,,0,,,0,v,Okogie P.FOUL (P1.T1) (J.Goble),Foul,Personal,1,0,29
0022500628,39,PT08M30.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,123,238,27,Missed,1,,,0,h,MISS Maxey 27' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,30
0022500628,40,PT08M28.00S,1,1610612745,HOU,1629006,Okogie,J. Okogie,0,0,0,,0,,,0,v,Okogie REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,31
0022500628,41,PT08M22.00S,1,1610612745,HOU,1631095,Smith Jr.,J. Smith Jr.,1,15,2,Made,1,7,10,17,v,Smith Jr. 2' Running Dunk (2 PTS) (Thompson 3 AST),Made Shot,Running Dunk Shot,1,2,32
0022500628,44,PT08M06.00S,1,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,5,6,1,Made,1,9,10,19,h,Edgecombe 1' Cutting Dunk Shot (2 PTS) (Maxey 1 AST),Made Shot,Cutting Dunk Shot,1,2,33
0022500628,48,PT07M48.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,161,209,26,Made,1,9,13,22,v,Sengun 26' 3PT Jump Shot (5 PTS) (Smith Jr. 1 AST),Made Shot,Jump Shot,1,3,34
0022500628,50,PT07M22.00S,1,1610612755,PHI,202331,George,P. George,-7,-6,1,Missed,1,,,0,h,MISS George 1' Dunk,Missed Shot,Dunk Shot,1,2,35
0022500628,50,PT07M22.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,0,0,0,,0,,,0,v,Sengun BLOCK (1 BLK),,,1,2,36
0022500628,52,PT07M20.00S,1,1610612745,HOU,201142,Durant,K. Durant,0,0,0,,0,,,0,v,Durant REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,37
0022500628,53,PT07M18.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,,,0,h,Oubre Jr. S.FOUL (P1.T2) (N.Buchert),Foul,Shooting,1,0,38
0022500628,55,PT07M18.00S,1,1610612745,HOU,201142,Durant,K. Durant,0,0,0,,0,,,0,v,MISS Durant Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1,0,39
0022500628,56,PT07M18.00S,1,0,,1610612745,,,0,0,0,,0,,,0,v,Rockets Rebound,Rebound,Normal Rebound,0,0,40
0022500628,57,PT07M18.00S,1,1610612745,HOU,201142,Durant,K. Durant,0,0,0,,0,9,14,23,v,Durant Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,1,0,41
0022500628,58,PT07M06.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,1,54,5,Made,1,11,14,25,h,Oubre Jr. 5' Pullup Jump Shot (7 PTS) (Maxey 2 AST),Made Shot,Pullup Jump shot,1,2,42
0022500628,60,PT07M06.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,0,0,0,,0,,,0,v,Sengun S.FOUL (P1.T2) (N.Buchert),Foul,Shooting,1,0,43
0022500628,62,PT07M06.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,12,14,26,h,Oubre Jr. Free Throw 1 of 1 (8 PTS),Free Throw,Free Throw 1 of 1,1,0,44
0022500628,63,PT06M47.00S,1,1610612745,HOU,1629006,Okogie,J. Okogie,18,231,23,Made,1,12,16,28,v,Okogie 23' Step Back Jump Shot (2 PTS) (Durant 1 AST),Made Shot,Step Back Jump shot,1,2,45
0022500628,65,PT06M39.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,4,39,4,Missed,1,,,0,h,MISS Maxey 4' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,2,46
0022500628,66,PT06M37.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,0,0,0,,0,,,0,v,Sengun REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,47
0022500628,67,PT06M33.00S,1,1610612745,HOU,1631095,Smith Jr.,J. Smith Jr.,-227,-2,0,Made,1,12,19,31,v,Smith Jr. 3PT Running Jump Shot (5 PTS) (Sengun 1 AST),Made Shot,Running Jump Shot,1,3,48
0022500628,69,PT06M31.00S,1,0,,1610612755,,,0,0,0,,0,,,0,h,76ERS Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0,49
0022500628,71,PT06M19.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,-10,11,1,Made,1,14,19,33,h,Embiid 1' Dunk (2 PTS) (Oubre Jr. 1 AST),Made Shot,Dunk Shot,1,2,50
0022500628,73,PT06M06.00S,1,1610612745,HOU,1641708,Thompson,A. Thompson,-16,13,2,Made,1,14,21,35,v,Thompson 2' Cutting Layup Shot (4 PTS) (Sengun 2 AST),Made Shot,Cutting Layup Shot,1,2,51
0022500628,75,PT06M06.00S,1,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,,,0,h,Edgecombe S.FOUL (P1.T3) (C.Washington),Foul,Shooting,1,0,52
0022500628,77,PT06M06.00S,1,1610612745,HOU,1641708,Thompson,A. Thompson,0,0,0,,0,14,22,36,v,Thompson Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,1,0,53
0022500628,78,PT05M56.00S,1,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,205,158,26,Made,1,17,22,39,h,Edgecombe 26' 3PT Jump Shot (5 PTS) (George 1 AST),Made Shot,Jump Shot,1,3,54
0022500628,80,PT05M37.00S,1,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,h,George S.FOUL (P2.T4) (N.Buchert),Foul,Shooting,1,0,55
0022500628,82,PT05M37.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,0,0,0,,0,,,0,v,MISS Sengun Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1,0,56
0022500628,83,PT05M37.00S,1,0,,1610612745,,,0,0,0,,0,,,0,v,Rockets Rebound,Rebound,Normal Rebound,1,0,57
0022500628,84,PT05M37.00S,1,1610612745,HOU,1641708,Thompson,A. Thompson,0,0,0,,0,,,0,v,SUB: Eason FOR Thompson,Substitution,,0,0,58
0022500628,86,PT05M37.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,0,0,0,,0,,,0,v,MISS Sengun Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,59
0022500628,87,PT05M35.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,,,0,h,Oubre Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,60
0022500628,88,PT05M18.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,-169,200,26,Missed,1,,,0,h,MISS Maxey 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,61
0022500628,89,PT05M17.00S,1,1610612745,HOU,1631095,Smith Jr.,J. Smith Jr.,0,0,0,,0,,,0,v,Smith Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,62
0022500628,90,PT05M00.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,-86,247,26,Missed,1,,,0,v,MISS Sengun 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,63
0022500628,91,PT04M57.00S,1,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,,,0,h,Edgecombe REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,64
0022500628,92,PT04M51.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,1,59,6,Missed,1,,,0,h,MISS Embiid 6' Hook Shot,Missed Shot,Hook Shot,1,2,65
0022500628,93,PT04M47.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,0,0,0,,0,,,0,h,Embiid REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,66
0022500628,94,PT04M47.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,0,0,0,Made,1,19,22,41,h,Embiid Tip Layup Shot (4 PTS),Made Shot,Tip Layup Shot,1,2,67
0022500628,96,PT04M23.00S,1,0,,1610612745,,,0,0,0,,0,,,0,v,Rockets Turnover: Shot Clock (T#2),Turnover,Shot Clock Turnover,1,0,68
0022500628,97,PT04M23.00S,1,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,h,SUB: Barlow FOR George,Substitution,,0,0,69
0022500628,99,PT04M13.00S,1,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,91,267,28,Missed,1,,,0,h,MISS Edgecombe 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,70
0022500628,100,PT04M10.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,,,0,h,Maxey REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,71
0022500628,101,PT04M06.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,116,239,27,Missed,1,,,0,h,MISS Embiid 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,72
0022500628,102,PT04M03.00S,1,1610612745,HOU,1631106,Eason,T. Eason,0,0,0,,0,,,0,v,Eason REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,73
0022500628,103,PT03M51.00S,1,1610612745,HOU,1631106,Eason,T. Eason,237,74,25,Missed,1,,,0,v,MISS Eason 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,74
0022500628,103,PT03M51.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,,,0,h,Oubre Jr. BLOCK (1 BLK),,,1,3,75
0022500628,105,PT03M50.00S,1,0,,1610612745,,,0,0,0,,0,,,0,v,Rockets Rebound,Rebound,Unknown,0,0,76
0022500628,107,PT03M50.00S,1,1610612745,HOU,1631095,Smith Jr.,J. Smith Jr.,0,0,0,,0,,,0,v,SUB: Finney-Smith FOR Smith Jr.,Substitution,,0,0,77
0022500628,109,PT03M44.00S,1,1610612745,HOU,201142,Durant,K. Durant,107,157,19,Missed,1,,,0,v,MISS Durant 19' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,2,78
0022500628,110,PT03M40.00S,1,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,,,0,h,Edgecombe REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,79
0022500628,111,PT03M37.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,126,242,27,Made,1,22,22,44,h,Maxey 27' 3PT Running Jump Shot (3 PTS) (Edgecombe 2 AST),Made Shot,Running Jump Shot,1,3,80
0022500628,113,PT03M12.00S,1,1610612745,HOU,201142,Durant,K. Durant,98,163,19,Made,1,22,24,46,v,Durant 19' Step Back Jump Shot (7 PTS),Made Shot,Step Back Jump shot,1,2,81
0022500628,114,PT02M44.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,1,155,16,Made,1,24,24,48,h,Embiid 16' Jump Shot (6 PTS) (Maxey 3 AST),Made Shot,Jump Shot,1,2,82
0022500628,116,PT02M22.00S,1,1610612745,HOU,1629006,Okogie,J. Okogie,225,58,0,Made,1,24,27,51,v,Okogie 3PT Jump Shot (5 PTS) (Sengun 3 AST),Made Shot,Jump Shot,1,3,83
0022500628,118,PT02M01.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,-100,253,27,Missed,1,,,0,h,MISS Maxey 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,84
0022500628,119,PT01M57.00S,1,1610612755,PHI,1631230,Barlow,D. Barlow,0,0,0,,0,,,0,h,Barlow REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,85
0022500628,120,PT01M55.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,-32,1,3,Made,1,26,27,53,h,Maxey 3' Driving Finger Roll Layup (5 PTS) (Barlow 1 AST),Made Shot,Driving Finger Roll Layup Shot,1,2,86
0022500628,122,PT01M54.00S,1,0,,1610612745,,,0,0,0,,0,,,0,v,Rockets Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0,87
0022500628,125,PT01M54.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,0,0,0,,0,,,0,h,SUB: Grimes FOR Embiid,Substitution,,0,0,88
0022500628,126,PT01M54.00S,1,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,,,0,h,SUB: Bona FOR Edgecombe,Substitution,,0,0,89
0022500628,127,PT01M54.00S,1,1610612745,HOU,201142,Durant,K. Durant,0,0,0,,0,,,0,v,SUB: Sheppard FOR Durant,Substitution,,0,0,90
