gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022500048,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:13 PM EST),period,start,1,0,1
0022500048,4,PT12M00.00S,1,1610612739,CLE,1630596,Mobley,E. Mobley,0,0,0,,0,,,0,h,Jump Ball Mobley vs. Jackson: Tip to Mitchell,Jump Ball,,1,0,2
0022500048,7,PT11M36.00S,1,1610612739,CLE,1629631,Hunter,D. Hunter,-1,8,1,Made,1,2,0,2,h,Hunter 1' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,1,2,3
0022500048,8,PT11M12.00S,1,1610612754,IND,1627783,Siakam,P. Siakam,-178,26,18,Made,1,2,2,4,v,Siakam 18' Jump Shot (2 PTS),Made Shot,Jump Shot,1,2,4
0022500048,9,PT11M03.00S,1,1610612754,IND,1631097,Mathurin,B. Mathurin,0,0,0,,0,,,0,v,Mathurin S.FOUL (P1.T1) (M.Smith),Foul,Shooting,1,0,5
0022500048,11,PT11M03.00S,1,1610612739,CLE,1630596,Mobley,E. Mobley,0,0,0,,0,,,0,h,MISS Mobley Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1,0,6
0022500048,12,PT11M03.00S,1,0,,1610612739,,,0,0,0,,0,,,0,h,CAVALIERS Rebound,Rebound,Normal Rebound,0,0,7
0022500048,13,PT11M03.00S,1,1610612739,CLE,1630596,Mobley,E. Mobley,0,0,0,,0,,,0,h,MISS Mobley Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,8
0022500048,14,PT11M00.00S,1,1610612739,CLE,1630596,Mobley,E. Mobley,0,0,0,,0,,,0,h,Mobley REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,9
0022500048,15,PT10M59.00S,1,1610612739,CLE,1630596,Mobley,E. Mobley,-6,11,1,Missed,1,,,0,h,MISS Mobley 1' Putback Dunk,Missed Shot,Putback Dunk Shot,1,2,10
0022500048,16,PT10M56.00S,1,1610612739,CLE,1630596,Mobley,E. Mobley,0,0,0,,0,,,0,h,Mobley REBOUND (Off:2 Def:0),Rebound,Unknown,1,0,11
0022500048,17,PT10M56.00S,1,1610612739,CLE,1630596,Mobley,E. Mobley,0,0,0,,0,,,0,h,Mobley Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,12
0022500048,17,PT10M56.00S,1,1610612754,IND,1631097,Mathurin,B. Mathurin,0,0,0,,0,,,0,v,Mathurin STEAL (1 STL),,,1,0,13
0022500048,19,PT10M56.00S,1,1610612739,CLE,1629631,Hunter,D. Hunter,0,0,0,,0,,,0,h,Hunter P.FOUL (P1.T1) (M.Smith),Foul,Personal,1,0,14
0022500048,21,PT10M51.00S,1,1610612754,IND,1631097,Mathurin,B. Mathurin,0,0,0,,0,,,0,v,Mathurin Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,15
0022500048,21,PT10M51.00S,1,1610612739,CLE,1629631,Hunter,D. Hunter,0,0,0,,0,,,0,h,Hunter STEAL (1 STL),,,1,0,16
0022500048,23,PT10M29.00S,1,1610612739,CLE,1642281,Tyson,J. Tyson,0,29,3,Made,1,4,2,6,h,Tyson 3' Cutting Layup Shot (2 PTS) (Garland 1 AST),Made Shot,Cutting Layup Shot,1,2,17
0022500048,25,PT10M10.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,-169,248,30,Made,1,4,5,9,v,Nembhard 30' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,1,3,18
0022500048,26,PT09M58.00S,1,1610612739,CLE,1628378,Mitchell,D. Mitchell,13,253,25,Missed,1,,,0,h,MISS Mitchell 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,19
0022500048,27,PT09M55.00S,1,1610612754,IND,1630543,Jackson,I. Jackson,0,0,0,,0,,,0,v,Jackson REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,20
0022500048,28,PT09M45.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,-60,137,15,Missed,1,,,0,v,MISS Nembhard 15' Jump Shot,Missed Shot,Jump Shot,1,2,21
0022500048,29,PT09M41.00S,1,1610612739,CLE,1642281,Tyson,J. Tyson,0,0,0,,0,,,0,h,Tyson REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,22
0022500048,30,PT09M32.00S,1,1610612739,CLE,1629631,Hunter,D. Hunter,-219,126,25,Missed,1,,,0,h,MISS Hunter 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,23
0022500048,31,PT09M30.00S,1,1610612754,IND,1631097,Mathurin,B. Mathurin,0,0,0,,0,,,0,v,Mathurin REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,24
0022500048,32,PT09M30.00S,1,1610612739,CLE,1629631,Hunter,D. Hunter,0,0,0,,0,,,0,h,Hunter P.FOUL (P2.T2) (M.Smith),Foul,Personal,1,0,25
0022500048,34,PT09M26.00S,1,1610612739,CLE,1629636,Garland,D. Garland,0,0,0,,0,,,0,h,Garland P.FOUL (P1.T3) (S.Corbin),Foul,Personal,1,0,26
0022500048,36,PT09M23.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,-103,138,17,Missed,1,,,0,v,MISS Nembhard 17' Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,2,27
0022500048,37,PT09M23.00S,1,0,,1610612739,,,0,0,0,,0,,,0,h,CAVALIERS Rebound,Rebound,Unknown,0,0,28
0022500048,39,PT09M05.00S,1,1610612739,CLE,1628378,Mitchell,D. Mitchell,224,125,26,Missed,1,,,0,h,MISS Mitchell 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,29
