TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,SUPPLEMENTAL_STATUS
1611661317,2026,10,Kelsey Plum,Kelsey,kelsey-plum,0,G,5-8,145,"AUG 24, 1994",31.0,8,Washington,1628276,Traded from LAS on 08/02/26,0
1611661317,2026,10,Noemie Brochant,Noemie,noemie-brochant,1,F-G,5-11,,"OCT 25, 1999",26.0,R,,1643493,Signed on 04/13/26,0
1611661317,2026,10,Kahleah Copper,Kahleah,kahleah-copper,2,G-F,6-1,165,"AUG 28, 1994",31.0,10,Rutgers,1627674,Traded from CHI on 02/06/24,0
1611661317,2026,10,Natasha Mack,Natasha,natasha-mack,4,F-C,6-4,182,"NOV 03, 1997",28.0,3,Oklahoma State,1630442,Signed on 02/09/24,0
1611661317,2026,10,Shay Ciezki,Shay,shay-ciezki,5,G,5-7,,"NOV 26, 2003",22.0,R,Indiana,1643470,Signed on 04/14/26,1
1611661317,2026,10,Lexi Held,Lexi,lexi-held,10,G,5-10,138,"DEC 28, 1999",26.0,1,DePaul,1631118,Signed on 06/01/26,0
1611661317,2026,10,Valeriane Ayayi,Valeriane,valeriane-ayayi,11,F,6-1,,"APR 29, 1994",32.0,1,France,204468,Signed on 04/12/26,0
1611661317,2026,10,Kara Dunn,Kara,kara-dunn,12,G,5-11,,"DEC 06, 2003",22.0,R,Southern California,1643454,Signed on 04/14/26,1
1611661317,2026,10,DeWanna Bonner,DeWanna,dewanna-bonner,24,F-G,6-4,140,"AUG 21, 1987",38.0,16,Auburn,201886,Signed on 07/08/25,0
1611661317,2026,10,Alyssa Thomas,Alyssa,alyssa-thomas,25,F,6-2,203,"APR 12, 1992",34.0,12,Maryland,203826,Traded from CON on 02/02/25,0
1611661317,2026,10,Jovana Nogic,Jovana,jovana-nogic,29,G,6-0,,"DEC 17, 1997",28.0,R,Providence,1643505,Signed on 04/13/26,0
1611661317,2026,10,Kyara Linskens,Kyara,kyara-linskens,31,C,6-4,,"NOV 13, 1996",29.0,1,,1642768,Signed on 04/12/26,0
1611661317,2026,10,Sami Whitcomb,Sami,sami-whitcomb,33,G,5-10,149,"JUL 20, 1988",38.0,9,Washington,1628244,Signed on 02/02/25,0
1611661317,2026,10,Marta Suarez,Marta,marta-suarez,77,F,6-3,,"MAY 07, 2002",24.0,R,TCU,1643438,Signed on 05/06/26,0
