tip_win_team,tip_to_player,first_shot_player,first_shot_team,first_shot_made,first_basket_player,first_basket_team,game_id
BOS,Brown,N. Queta,BOS,1,N. Queta,BOS,0022500083
CHI,Jones,N. Vučević,CHI,1,N. Vučević,CHI,0022500084
MEM,Morant,J. Poole,NOP,1,J. Poole,NOP,0022500085
WAS,McCollum,K. Middleton,WAS,0,A. Green,MIL,0022500086
UTA,George,L. Markkanen,UTA,0,L. Markkanen,UTA,0022500087
PHX,Allen,O. Ighodaro,PHX,1,O. Ighodaro,PHX,0022500088
POR,Avdija,J. Holiday,POR,0,S. Sharpe,POR,0022500089
ORL,Suggs,J. Johnson,ATL,0,F. Wagner,ORL,0022500090
BKN,Saraf,M. Porter Jr.,BKN,0,E. Mobley,CLE,0022500091
TOR,Poeltl,B. Ingram,TOR,0,B. Ingram,TOR,0022500092
DET,Robinson,K. Durant,HOU,1,K. Durant,HOU,0022500093
MEM,Wells,J. Morant,MEM,1,J. Morant,MEM,0022500094
NOP,Williamson,Z. Williamson,NOP,1,Z. Williamson,NOP,0022500095
DAL,Flagg,K. George,WAS,0,P. Washington,DAL,0022500096
POR,Avdija,D. Avdija,POR,1,D. Avdija,POR,0022500097
UTA,George,D. Schröder,SAC,0,S. Mykhailiuk,UTA,0022500098
PHX,Booker,G. Allen,PHX,0,D. Jones Jr.,LAC,0022500099
,Jones,W. Carter Jr.,ORL,0,J. Giddey,CHI,0022500100
ATL,Daniels,N. Alexander-Walker,ATL,0,C. Holmgren,OKC,0022500101
CHA,Sexton,B. Miller,CHA,1,B. Miller,CHA,0022500102
IND,Wiseman,B. Sheppard,IND,1,B. Sheppard,IND,0022500103
DEN,Murray,C. Johnson,DEN,1,C. Johnson,DEN,0022500104
BKN,Thomas,H. Barnes,SAS,0,C. Thomas,BKN,0022500105
BOS,Brown,J. Brown,BOS,1,J. Brown,BOS,0022500106
MIL,Trent Jr.,G. Trent Jr.,MIL,0,G. Trent Jr.,MIL,0022500107
MIA,Mitchell,B. Adebayo,MIA,0,J. Brunson,NYK,0022500108
CHA,Ball,M. Bridges,CHA,0,A. Sarr,WAS,0022500109
MIN,Edwards,J. Randle,MIN,1,J. Randle,MIN,0022500110
TOR,Ingram,J. Poeltl,TOR,1,J. Poeltl,TOR,0022500111
POR,Avdija,T. Camara,POR,0,D. Jones Jr.,LAC,0022500112
SAC,Ellis,K. Ellis,SAC,1,K. Ellis,SAC,0022500113
ORL,Suggs,F. Wagner,ORL,1,F. Wagner,ORL,0022500114
ATL,Johnson,K. Porziņģis,ATL,0,K. Porziņģis,ATL,0022500115
BKN,Porter Jr.,T. Mann,BKN,1,T. Mann,BKN,0022500116
BOS,White,J. Minott,BOS,1,J. Minott,BOS,0022500117
SAS,Vassell,S. Castle,SAS,1,S. Castle,SAS,0022500118
OKC,Gilgeous-Alexander,L. Dort,OKC,1,L. Dort,OKC,0022500119
UTA,Mykhailiuk,W. Kessler,UTA,1,W. Kessler,UTA,0022500120
,,B. Podziemski,GSW,1,B. Podziemski,GSW,0022500121
POR,Avdija,D. Avdija,POR,0,A. Reaves,LAL,0022500122
PHI,Edgecombe,K. Middleton,WAS,1,K. Middleton,WAS,0022500123
MIA,Mitchell,K. Ware,MIA,1,K. Ware,MIA,0022500124
NYK,Bridges,M. Bridges,NYK,1,M. Bridges,NYK,0022500125
OKC,Wallace,A. Wiggins,OKC,0,A. Wiggins,OKC,0022500126
GSW,Curry,D. Green,GSW,1,D. Green,GSW,0022500127
CLE,Mobley,E. Mobley,CLE,1,E. Mobley,CLE,0022500128
ORL,Suggs,C. Cunningham,DET,0,D. Bane,ORL,0022500129
BKN,Saraf,N. Claxton,BKN,1,N. Claxton,BKN,0022500130
HOU,Smith Jr.,K. Durant,HOU,0,B. Ingram,TOR,0022500131
CHI,Jones,M. Buzelis,CHI,0,D. Sabonis,SAC,0022500132
DAL,Flagg,K. Thompson,DAL,0,P. Siakam,IND,0022500133
DEN,Gordon,N. Jokić,DEN,1,N. Jokić,DEN,0022500134
UTA,George,S. Mykhailiuk,UTA,0,S. Mykhailiuk,UTA,0022500135
LAL,LaRavia,J. Randle,MIN,0,J. LaRavia,LAL,0022500136
PHX,Dunn,M. Williams,PHX,1,M. Williams,PHX,0022500137
ORL,Banchero,M. Bridges,CHA,0,F. Wagner,ORL,0022500138
MIL,Rollins,R. Rollins,MIL,1,R. Rollins,MIL,0022500139
WAS,Coulibaly,A. Sarr,WAS,0,K. Middleton,WAS,0022500140
SAS,Vassell,D. Vassell,SAS,1,D. Vassell,SAS,0022500141
,G. Antetokounmpo,A. Green,MIL,1,A. Green,MIL,0022500142
MIN,Randle,D. DiVincenzo,MIN,0,J. McDaniels,MIN,0022500143
IND,Siakam,I. Jackson,IND,0,A. Nesmith,IND,0022500144
ORL,Suggs,J. Suggs,ORL,0,K. George,WAS,0022500145
HOU,Smith Jr.,K. Durant,HOU,1,K. Durant,HOU,0022500146
DAL,Christie,C. Flagg,DAL,0,A. Thompson,DET,0022500147
OKC,Wiggins,J. Williams,OKC,0,J. Fears,NOP,0022500148
PHI,Walker,T. Maxey,PHI,1,T. Maxey,PHI,0022500149
UTA,Mykhailiuk,L. Markkanen,UTA,0,L. Markkanen,UTA,0022500150
ATL,Johnson,D. Hunter,CLE,1,D. Hunter,CLE,0022500151
MEM,Caldwell-Pope,C. Murray-Boyles,TOR,0,I. Quickley,TOR,0022500152
NYK,Brunson,O. Anunoby,NYK,1,O. Anunoby,NYK,0022500153
SAS,Castle,D. Booker,PHX,0,D. Vassell,SAS,0022500154
,Doncic,R. Hachimura,LAL,1,R. Hachimura,LAL,0022500155
MIN,Conley,C. Thomas,BKN,0,C. Thomas,BKN,0022500156
IND,Nesmith,Q. Jackson,IND,0,G. Antetokounmpo,MIL,0022500157
UTA,Markkanen,J. Nurkić,UTA,0,N. Queta,BOS,0022500158
WAS,Champagnie,A. Sarr,WAS,0,K. Towns,NYK,0022500159
DAL,Flagg,M. Christie,DAL,1,M. Christie,DAL,0022500160
DET,Thompson,I. Stewart,DET,0,J. Duren,DET,0022500161
DEN,Murray,N. Jokić,DEN,1,N. Jokić,DEN,0022500162
LAL,Smart,M. Smart,LAL,1,M. Smart,LAL,0022500163
MIA,Powell,B. Adebayo,MIA,1,B. Adebayo,MIA,0022500164
TOR,Ingram,R. Barrett,TOR,1,R. Barrett,TOR,0022500165
ORL,Banchero,W. Carter Jr.,ORL,1,W. Carter Jr.,ORL,0022500166
PHI,Edgecombe,K. Oubre Jr.,PHI,1,K. Oubre Jr.,PHI,0022500167
CHA,Sexton,K. Knueppel,CHA,0,J. Fears,NOP,0022500168
PHX,Allen,G. Allen,PHX,0,G. Allen,PHX,0022500169
OKC,Wallace,C. Holmgren,OKC,0,J. Harden,LAC,0022500170
CLE,Tyson,D. Mitchell,CLE,0,J. Tyson,CLE,0022500171
DET,Robinson,A. Thompson,DET,1,A. Thompson,DET,0022500172
BKN,Mann,M. Porter Jr.,BKN,1,M. Porter Jr.,BKN,0022500173
WAS,Champagnie,C. McCollum,WAS,0,N. Queta,BOS,0022500174
NYK,Brunson,J. Randle,MIN,1,J. Randle,MIN,0022500175
MEM,Caldwell-Pope,J. Morant,MEM,0,J. Wells,MEM,0022500176
DAL,Russell,C. Flagg,DAL,0,S. Bey,NOP,0022500177
MIA,Powell,N. Powell,MIA,1,N. Powell,MIA,0022500178
SAS,Champagnie,H. Barnes,SAS,0,V. Wembanyama,SAS,0022500179
OKC,Mitchell,A. Wiggins,OKC,0,A. Mitchell,OKC,0022500180
GSW,Richard,B. Podziemski,GSW,0,M. Moody,GSW,0022500181
PHX,Allen,M. Williams,PHX,0,M. Williams,PHX,0022500182
WAS,McCollum,A. Sarr,WAS,0,A. Sarr,WAS,0022500183
TOR,Quickley,S. Barnes,TOR,1,S. Barnes,TOR,0022500184
LAL,Hachimura,Z. Risacher,ATL,1,Z. Risacher,ATL,0022500185
CLE,Mitchell,D. Hunter,CLE,1,D. Hunter,CLE,0022500186
MIA,Wiggins,A. Wiggins,MIA,0,D. Avdija,POR,0022500187
SAS,Castle,H. Barnes,SAS,0,D. Vassell,SAS,0022500188
DEN,Watson,A. Nembhard,IND,0,I. Jackson,IND,0022500189
PHX,Booker,G. Allen,PHX,1,G. Allen,PHX,0022500190
,G. Antetokounmpo,G. Trent Jr.,MIL,1,G. Trent Jr.,MIL,0022500191
NYK,Brunson,J. Brunson,NYK,0,K. Towns,NYK,0022500192
ORL,Wagner,W. Carter Jr.,ORL,1,W. Carter Jr.,ORL,0022500193
OKC,Gilgeous-Alexander,I. Hartenstein,OKC,1,I. Hartenstein,OKC,0022500194
PHI,Oubre Jr.,K. Oubre Jr.,PHI,1,K. Oubre Jr.,PHI,0022500195
GSW,Green,Q. Post,GSW,0,Q. Post,GSW,0022500196
MIN,McDaniels,A. Edwards,MIN,0,R. Gobert,MIN,0022500197
CHA,Kalkbrenner,D. Ayton,LAL,1,D. Ayton,LAL,0022500198
DET,Holland II,C. Cunningham,DET,1,C. Cunningham,DET,0022500199
,,T. Camara,POR,1,T. Camara,POR,0022500200
MIA,Powell,N. Powell,MIA,0,D. Hunter,CLE,0022500201
SAS,Castle,V. Wembanyama,SAS,0,D. Fox,SAS,0022500202
,,M. Christie,DAL,1,M. Christie,DAL,0022500203
PHX,Booker,D. Brooks,PHX,0,D. Booker,PHX,0022500204
UTA,Bailey,D. DiVincenzo,MIN,0,L. Markkanen,UTA,0022500205
LAC,Harden,Z. Risacher,ATL,0,K. Dunn,LAC,0022500206
BKN,Clowney,E. Dëmin,BKN,1,E. Dëmin,BKN,0022500207
MEM,Caldwell-Pope,J. Jackson Jr.,MEM,1,J. Jackson Jr.,MEM,0022500208
PHI,Maxey,A. Drummond,PHI,1,A. Drummond,PHI,0022500209
OKC,Gilgeous-Alexander,C. Wallace,OKC,0,S. Curry,GSW,0022500210
UTA,George,J. Nurkić,UTA,0,P. Siakam,IND,0022500211
,,D. Sabonis,SAC,1,D. Sabonis,SAC,0022500212
CHA,James,R. Kalkbrenner,CHA,1,R. Kalkbrenner,CHA,0022500213
CHI,Jones,D. Robinson,DET,1,D. Robinson,DET,0022500214
ORL,Suggs,J. Suggs,ORL,0,J. Brunson,NYK,0022500215
MEM,Williams Jr.,J. Jackson Jr.,MEM,0,J. Brown,BOS,0022500216
CLE,Ball,J. Allen,CLE,0,N. Powell,MIA,0022500217
WAS,Middleton,K. Middleton,WAS,0,J. Smith Jr.,HOU,0022500218
POR,Avdija,J. Holiday,POR,0,T. Murphy III,NOP,0022500219
SAS,Castle,V. Wembanyama,SAS,0,M. Moody,GSW,0022500220
PHX,Allen,G. Allen,PHX,0,B. Williams,DAL,0022500221
LAL,Hachimura,D. Ayton,LAL,0,L. Dončić,LAL,0022500222
ATL,Daniels,K. Porziņģis,ATL,1,K. Porziņģis,ATL,0022500223
LAC,Jones Jr.,J. Collins,LAC,0,I. Zubac,LAC,0022500224
TOR,Quickley,J. Poeltl,TOR,0,J. Allen,CLE,0022500225
IND,Siakam,A. Nembhard,IND,0,J. Robinson-Earl,IND,0022500226
UTA,Markkanen,K. George,UTA,0,L. Markkanen,UTA,0022500227
MEM,Jackson Jr.,C. Coward,MEM,0,D. Mitchell,CLE,0022500228
,,K. Knueppel,CHA,1,K. Knueppel,CHA,0022500229
IND,Walker,J. Walker,IND,0,J. Robinson-Earl,IND,0022500230
LAL,James,A. Reaves,LAL,1,A. Reaves,LAL,0022500231
DEN,Hardaway Jr.,J. Murray,DEN,1,J. Murray,DEN,0022500232
LAC,Zubac,J. Collins,LAC,0,D. White,BOS,0022500233
SAC,Westbrook,Z. LaVine,SAC,1,Z. LaVine,SAC,0022500234
WAS,George,K. George,WAS,1,K. George,WAS,0022500235
ORL,da Silva,A. Black,ORL,0,A. Sengun,HOU,0022500236
NOP,Fears,H. Jones,NOP,1,H. Jones,NOP,0022500237
POR,Avdija,S. Sharpe,POR,0,P. Washington,DAL,0022500238
PHX,Dunn,Z. Risacher,ATL,1,Z. Risacher,ATL,0022500239
UTA,George,L. Markkanen,UTA,1,L. Markkanen,UTA,0022500240
CLE,Hunter,S. Merrill,CLE,0,A. Green,MIL,0022500241
IND,Siakam,A. Nembhard,IND,1,A. Nembhard,IND,0022500242
PHI,Maxey,V. Edgecombe,PHI,0,P. George,PHI,0022500243
MIA,Powell,D. Mitchell,MIA,0,M. McBride,NYK,0022500244
TOR,Barrett,B. Ingram,TOR,1,B. Ingram,TOR,0022500245
DAL,Williams,M. Cisse,DAL,0,M. Cisse,DAL,0022500246
OKC,Gilgeous-Alexander,L. Dort,OKC,0,L. Dort,OKC,0022500247
DEN,Gordon,P. Watson,DEN,1,P. Watson,DEN,0022500248
ORL,Suggs,F. Wagner,ORL,1,F. Wagner,ORL,0022500249
BKN,Porter Jr.,M. Porter Jr.,BKN,1,M. Porter Jr.,BKN,0022500250
ATL,Alexander-Walker,O. Okongwu,ATL,0,J. Duren,DET,0022500251
MEM,Williams Jr.,C. Coward,MEM,1,C. Coward,MEM,0022500252
UTA,George,K. George,UTA,0,S. Mykhailiuk,UTA,0022500253
PHX,Booker,M. Williams,PHX,1,M. Williams,PHX,0022500254
CLE,Mobley,N. Tomlin,CLE,0,J. Smith Jr.,HOU,0022500255
IND,Siakam,B. Mathurin,IND,1,B. Mathurin,IND,0022500256
MIA,Mitchell,A. Wiggins,MIA,1,A. Wiggins,MIA,0022500257
PHI,Maxey,R. Barrett,TOR,0,J. Poeltl,TOR,0022500258
WAS,McCollum,K. Middleton,WAS,0,K. George,WAS,0022500259
,,D. Queen,NOP,0,J. Fears,NOP,0022500260
OKC,Wallace,C. Holmgren,OKC,1,C. Holmgren,OKC,0022500261
NYK,Shamet,L. Shamet,NYK,1,L. Shamet,NYK,0022500262
POR,Cissoko,N. Vučević,CHI,1,N. Vučević,CHI,0022500263
ORL,da Silva,T. da Silva,ORL,0,K. Dunn,LAC,0022500264
MEM,Williams Jr.,J. Wells,MEM,1,J. Wells,MEM,0022500265
PHI,George,P. George,PHI,1,P. George,PHI,0022500266
,Johnson,K. Porziņģis,ATL,1,K. Porziņģis,ATL,0022500267
LAC,Sanders,B. Miller,CHA,1,B. Miller,CHA,0022500268
NYK,Brunson,J. Brunson,NYK,1,J. Brunson,NYK,0022500269
ATL,Johnson,J. Johnson,ATL,0,D. Daniels,ATL,0022500270
WAS,McCollum,M. Buzelis,CHI,1,M. Buzelis,CHI,0022500271
MIL,Portis,B. Portis,MIL,1,B. Portis,MIL,0022500272
MEM,Williams Jr.,C. Coward,MEM,0,M. Christie,DAL,0022500273
SAC,LaVine,D. Eubanks,SAC,0,C. Johnson,DEN,0022500274
,,N. Powell,MIA,1,N. Powell,MIA,0022500275
CHA,Sexton,M. Plumlee,CHA,1,M. Plumlee,CHA,0022500276
ORL,Wagner,D. Bane,ORL,0,N. Queta,BOS,0022500277
CLE,Garland,J. Tyson,CLE,0,I. Zubac,LAC,0022500278
BKN,Mann,S. Mamukelashvili,TOR,1,S. Mamukelashvili,TOR,0022500279
OKC,Gilgeous-Alexander,I. Hartenstein,OKC,1,I. Hartenstein,OKC,0022500280
PHX,O'Neale,D. Brooks,PHX,0,J. Goodwin,PHX,0022500281
LAL,Hachimura,A. Reaves,LAL,0,L. James,LAL,0022500282
DET,Robinson,B. Sheppard,IND,0,P. Siakam,IND,0022500283
CLE,Tyson,D. Mitchell,CLE,1,D. Mitchell,CLE,0022500284
BKN,Mann,N. Claxton,BKN,0,K. Towns,NYK,0022500285
MIA,Mitchell,B. Adebayo,MIA,0,B. Williams,DAL,0022500286
DEN,Murray,P. Watson,DEN,0,Z. Edey,MEM,0022500287
POR,Avdija,S. Cissoko,POR,0,D. Clingan,POR,0022500288
NOP,Williamson,J. Giddey,CHI,1,J. Giddey,CHI,0022500289
PHX,Goodwin,D. Brooks,PHX,0,N. Richards,PHX,0022500290
GSW,Post,M. Moody,GSW,0,K. George,UTA,0022500291
SAC,Murray,D. Eubanks,SAC,0,A. Edwards,MIN,0022500292
MIN,DiVincenzo,J. Randle,MIN,1,J. Randle,MIN,0022500293
TOR,Barnes,I. Quickley,TOR,1,I. Quickley,TOR,0022500294
CHI,Dosunmu,M. Buzelis,CHI,1,M. Buzelis,CHI,0022500295
MIA,Herro,B. Adebayo,MIA,0,T. Harris,DET,0022500296
BKN,Clowney,T. Mann,BKN,0,T. Martin,BKN,0022500297
GSW,Green,D. Green,GSW,0,Q. Post,GSW,0022500298
,S. Jones,G. Allen,PHX,1,G. Allen,PHX,0022500299
LAC,Collins,I. Zubac,LAC,1,I. Zubac,LAC,0022500300
UTA,George,A. Bailey,UTA,1,A. Bailey,UTA,0022500301
BOS,Brown,P. Pritchard,BOS,1,P. Pritchard,BOS,0022500302
TOR,Ingram,J. Battle,TOR,0,J. Walter,TOR,0022500303
ATL,Alexander-Walker,N. Alexander-Walker,ATL,0,J. Embiid,PHI,0022500304
OKC,Gilgeous-Alexander,C. Holmgren,OKC,0,J. Grant,POR,0022500305
MIN,Edwards,J. McDaniels,MIN,1,J. McDaniels,MIN,0022500306
MEM,Williams Jr.,C. Coward,MEM,0,D. Eubanks,SAC,0022500307
LAL,Reaves,G. Vincent,LAL,0,L. Dončić,LAL,0022500308
ATL,Johnson,N. Alexander-Walker,ATL,1,N. Alexander-Walker,ATL,0022500309
CLE,Wade,D. Hunter,CLE,0,E. Mobley,CLE,0022500310
WAS,McCollum,G. Antetokounmpo,MIL,1,G. Antetokounmpo,MIL,0022500311
CHA,Ball,K. Knueppel,CHA,1,K. Knueppel,CHA,0022500312
