gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022500694,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (9:42 PM EST),period,start,1,0,1
0022500694,4,PT12M00.00S,1,1610612762,UTA,1642271,Filipowski,K. Filipowski,0,0,0,,0,,,0,h,Jump Ball Filipowski vs. Claxton: Tip to Mykhailiuk,Jump Ball,,1,0,2
0022500694,7,PT11M35.00S,1,1610612762,UTA,1642262,Williams,C. Williams,26,20,3,Made,1,2,0,2,h,Williams 3' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,1,2,3
0022500694,8,PT11M16.00S,1,1610612751,BKN,1642849,Traore,N. Traore,-230,5,0,Missed,1,,,0,v,MISS Traore 3PT Jump Shot,Missed Shot,Jump Shot,1,3,4
0022500694,9,PT11M13.00S,1,0,,1610612751,,,0,0,0,,0,,,0,v,Nets Rebound,Rebound,Unknown,1,0,5
0022500694,10,PT11M12.00S,1,1610612762,UTA,1629004,Mykhailiuk,S. Mykhailiuk,0,0,0,,0,,,0,h,Mykhailiuk P.FOUL (P1.T1) (D.Scott),Foul,Personal,1,0,6
0022500694,12,PT11M03.00S,1,1610612751,BKN,1642856,Dëmin,E. Dëmin,-100,32,10,Missed,1,,,0,v,MISS Demin 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,7
0022500694,13,PT11M01.00S,1,1610612762,UTA,1642271,Filipowski,K. Filipowski,0,0,0,,0,,,0,h,Filipowski REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,8
0022500694,14,PT10M51.00S,1,1610612762,UTA,1642271,Filipowski,K. Filipowski,-5,86,9,Made,1,4,0,4,h,Filipowski 9' Driving Floating Jump Shot (2 PTS) (George 1 AST),Made Shot,Driving Floating Jump Shot,1,2,9
0022500694,16,PT10M50.00S,1,0,,1610612751,,,0,0,0,,0,,,0,v,Nets Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0,10
0022500694,18,PT10M33.00S,1,1610612751,BKN,1642856,Dëmin,E. Dëmin,-142,225,27,Made,1,4,3,7,v,Demin 27' 3PT Pullup Jump Shot (3 PTS) (Claxton 1 AST),Made Shot,Pullup Jump shot,1,3,11
0022500694,20,PT10M12.00S,1,1610612762,UTA,1642271,Filipowski,K. Filipowski,-191,188,27,Made,1,7,3,10,h,Filipowski 27' 3PT Jump Shot (5 PTS) (George 2 AST),Made Shot,Jump Shot,1,3,12
0022500694,23,PT09M51.00S,1,1610612751,BKN,1642856,Dëmin,E. Dëmin,-108,234,26,Missed,1,,,0,v,MISS Demin 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,13
