gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
1022600250,2,PT10M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (10:03 PM EST),period,start,1,0,1
1022600250,4,PT10M00.00S,1,1611661327,PDX,1629484,DiLeo,M. DiLeo,0,0,0,,0,,,0,h,Jump Ball DiLeo vs. Howard: Tip to Harrison,Jump Ball,,1,0,2
1022600250,7,PT09M44.00S,1,1611661327,PDX,1642296,Puoch,N. Puoch,-32,28,4,Missed,1,,,0,h,MISS Puoch 4' Driving Layup,Missed Shot,Driving Layup Shot,1,2,3
1022600250,7,PT09M44.00S,1,1611661324,MIN,1643426,Miles,O. Miles,0,0,0,,0,,,0,v,Miles BLOCK (1 BLK),,,1,2,4
1022600250,9,PT09M44.00S,1,0,,1611661327,,,0,0,0,,0,,,0,h,FIRE Rebound,Rebound,Unknown,1,0,5
1022600250,11,PT09M36.00S,1,1611661327,PDX,1643527,Harrison,J. Harrison,32,20,4,Made,1,2,0,2,h,Harrison 4' Driving Layup (2 PTS) (DiLeo 1 AST),Made Shot,Driving Layup Shot,1,2,6
1022600250,13,PT09M15.00S,1,1611661324,MIN,203825,McBride,K. McBride,16,260,26,Made,1,2,3,5,v,McBride 26' 3PT Pullup Jump Shot (3 PTS) (Howard 1 AST),Made Shot,Pullup Jump shot,1,3,7
1022600250,15,PT09M04.00S,1,1611661327,PDX,1631083,Engstler,E. Engstler,-177,174,25,Missed,1,,,0,h,MISS Engstler 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,8
1022600250,16,PT09M00.00S,1,1611661324,MIN,1627675,Williams,C. Williams,0,0,0,,0,,,0,v,Williams REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,9
1022600250,17,PT08M53.00S,1,1611661324,MIN,1627675,Williams,C. Williams,151,33,15,Missed,1,,,0,v,MISS Williams 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,10
1022600250,18,PT08M51.00S,1,1611661324,MIN,1629483,Collier,N. Collier,0,0,0,,0,,,0,v,Collier REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,11
1022600250,19,PT08M48.00S,1,1611661324,MIN,1643426,Miles,O. Miles,-73,248,26,Missed,1,,,0,v,MISS Miles 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,12
1022600250,20,PT08M45.00S,1,1611661324,MIN,203827,Howard,N. Howard,0,0,0,,0,,,0,v,Howard REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,13
1022600250,21,PT08M44.00S,1,1611661324,MIN,203827,Howard,N. Howard,0,-6,1,Made,1,2,5,7,v,Howard 1' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,1,2,14
1022600250,22,PT08M24.00S,1,1611661327,PDX,1642296,Puoch,N. Puoch,-174,186,25,Made,1,5,5,10,h,Puoch 25' 3PT Jump Shot (3 PTS) (Engstler 1 AST),Made Shot,Jump Shot,1,3,15
1022600250,24,PT08M13.00S,1,1611661324,MIN,1643426,Miles,O. Miles,37,36,5,Missed,1,,,0,v,MISS Miles 5' Driving Layup,Missed Shot,Driving Layup Shot,1,2,16
1022600250,25,PT08M09.00S,1,1611661327,PDX,1629524,Carleton,B. Carleton,0,0,0,,0,,,0,h,Carleton REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,17
1022600250,26,PT08M00.00S,1,1611661327,PDX,1642296,Puoch,N. Puoch,161,201,26,Missed,1,,,0,h,MISS Puoch 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,18
1022600250,27,PT07M55.00S,1,1611661324,MIN,203827,Howard,N. Howard,0,0,0,,0,,,0,v,Howard REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,19
1022600250,28,PT07M49.00S,1,1611661324,MIN,1629483,Collier,N. Collier,26,32,4,Made,1,5,7,12,v,Collier 4' Pullup Jump Shot (2 PTS) (Miles 1 AST),Made Shot,Pullup Jump shot,1,2,20
1022600250,30,PT07M32.00S,1,1611661327,PDX,1629484,DiLeo,M. DiLeo,-120,229,26,Missed,1,,,0,h,MISS DiLeo 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,21
1022600250,31,PT07M29.00S,1,1611661324,MIN,203827,Howard,N. Howard,0,0,0,,0,,,0,v,Howard REBOUND (Off:1 Def:2),Rebound,Unknown,1,0,22
1022600250,32,PT07M21.00S,1,1611661324,MIN,203827,Howard,N. Howard,-22,34,4,Made,1,5,9,14,v,Howard 4' Cutting Layup Shot (4 PTS) (Williams 1 AST),Made Shot,Cutting Layup Shot,1,2,23
1022600250,34,PT07M05.00S,1,1611661324,MIN,1643426,Miles,O. Miles,0,0,0,,0,,,0,v,Miles P.FOUL (P1.T1),Foul,Personal,1,0,24
1022600250,36,PT06M58.00S,1,1611661327,PDX,1643527,Harrison,J. Harrison,0,0,0,,0,,,0,h,Harrison Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,25
1022600250,36,PT06M58.00S,1,1611661324,MIN,203825,McBride,K. McBride,0,0,0,,0,,,0,v,McBride STEAL (1 STL),,,1,0,26
1022600250,38,PT06M56.00S,1,1611661327,PDX,1643527,Harrison,J. Harrison,0,0,0,,0,,,0,h,Harrison S.FOUL (P1.T1),Foul,Shooting,1,0,27
1022600250,40,PT06M56.00S,1,1611661324,MIN,203825,McBride,K. McBride,0,0,0,,0,5,10,15,v,McBride Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,1,0,28
1022600250,41,PT06M56.00S,1,1611661324,MIN,203825,McBride,K. McBride,0,0,0,,0,5,11,16,v,McBride Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,1,0,29
1022600250,42,PT06M42.00S,1,1611661327,PDX,1643527,Harrison,J. Harrison,0,0,0,,0,,,0,h,Harrison Bad Pass Turnover (P2.T2),Turnover,Bad Pass,1,0,30
1022600250,42,PT06M42.00S,1,1611661324,MIN,203827,Howard,N. Howard,0,0,0,,0,,,0,v,Howard STEAL (1 STL),,,1,0,31
1022600250,102,PT06M37.00S,1,1611661324,MIN,203827,Howard,N. Howard,0,0,0,,0,,,0,v,Howard Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,32
1022600250,102,PT06M37.00S,1,1611661327,PDX,1631083,Engstler,E. Engstler,0,0,0,,0,,,0,h,Engstler STEAL (1 STL),,,1,0,33
