tip_win_team,tip_to_player,first_shot_player,first_shot_team,first_shot_made,first_basket_player,first_basket_team,game_id
ATL,Canada,S. Diggins,CHI,1,S. Diggins,CHI,1022600086
MIN,Coffey,O. Miles,MIN,0,M. Siegrist,DAL,1022600087
GSV,Thornton,V. Burton,GSV,1,V. Burton,GSV,1022600088
TOR,Sykes,M. Mabrey,TOR,0,M. Mabrey,TOR,1022600089
SEA,Horston,D. Malonga,SEA,1,D. Malonga,SEA,1022600090
IND,Billings,K. Mitchell,IND,0,K. Cardoso,CHI,1022600091
NYL,Fiebich,M. Johannes,NYL,1,M. Johannes,NYL,1022600092
PHX,Thomas,A. Ogunbowale,DAL,0,P. Bueckers,DAL,1022600093
PDX,Leite,C. Leite,PDX,0,E. Engstler,PDX,1022600094
WAS,Amoore,M. Onyenwere,WAS,0,J. Allemand,TOR,1022600095
GSV,Burton,K. Thornton,GSV,0,N. Hiedeman,SEA,1022600096
CON,Lacan,L. Lacan,CON,1,L. Lacan,CON,1022600097
LVA,Young,C. Gray,LVA,1,C. Gray,LVA,1022600098
PDX,Engstler,M. Gustafson,PDX,0,E. Engstler,PDX,1022600099
LAS,Ogwumike,N. Ogwumike,LAS,1,N. Ogwumike,LAS,1022600100
NYL,Astier,A. Dugalic,WAS,1,A. Dugalic,WAS,1022600101
TOR,Juskaite,J. Allemand,TOR,1,J. Allemand,TOR,1022600102
DAL,Bueckers,P. Bueckers,DAL,1,P. Bueckers,DAL,1022600103
PDX,Leite,C. Leite,PDX,1,C. Leite,PDX,1022600104
LAS,Ogwumike,K. Plum,LAS,0,K. Stokes,GSV,1022600105
TOR,Sykes,I. Harrison,TOR,0,B. Sykes,TOR,1022600106
WAS,Onyenwere,L. Betts,WAS,1,L. Betts,WAS,1022600107
CHI,Cardoso,A. Stevens,CHI,1,A. Stevens,CHI,1022600108
DAL,Bueckers,P. Bueckers,DAL,0,A. Kuier,DAL,1022600109
LAS,Burrell,N. Ogwumike,LAS,0,R. Burrell,LAS,1022600110
LVA,Wilson,J. Young,LVA,0,A. Wilson,LVA,1022600111
SEA,Hiedeman,S. Barker,PDX,0,D. Malonga,SEA,1022600112
ATL,Canada,R. Howard,ATL,0,R. Howard,ATL,1022600113
TOR,Fagbenle,M. Mabrey,TOR,1,M. Mabrey,TOR,1022600114
WAS,Iriafen,K. Iriafen,WAS,1,K. Iriafen,WAS,1022600115
GSV,Thornton,V. Burton,GSV,0,C. Zandalasini,GSV,1022600116
,,N. Hillmon,ATL,0,N. Hillmon,ATL,1022600117
SEA,Hiedeman,A. Fam,SEA,1,A. Fam,SEA,1022600118
CHI,Jaquez,K. Cardoso,CHI,1,K. Cardoso,CHI,1022600119
GSV,Burton,V. Burton,GSV,0,A. Wilson,LVA,1022600120
WAS,Citron,S. Austin,WAS,0,C. Williams,MIN,1022600121
NYL,Sabally,K. Plum,LAS,0,J. Jones,NYL,1022600122
CON,Lacan,L. Lacan,CON,1,L. Lacan,CON,1022600123
ATL,Gray,J. Canada,ATL,1,J. Canada,ATL,1022600124
PHX,Thomas,L. Hull,IND,1,L. Hull,IND,1022600125
DAL,Bueckers,J. Shepard,DAL,0,D. Malonga,SEA,1022600126
NYL,Sabally,S. Sabally,NYL,0,J. Young,LVA,1022600127
