TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,SUPPLEMENTAL_STATUS
1611661328,2026,10,Natisha Hiedeman,Natisha,natisha-hiedeman,2,G,5-8,132,"FEB 10, 1997",29.0,7,Marquette,1629567,Signed on 04/11/26,0
1611661328,2026,10,Taylor Thierry,Taylor,taylor-thierry,3,G-F,6-1,,"JAN 08, 2003",23.0,1,Ohio State,1642814,Signed on 05/14/26,0
1611661328,2026,10,Flau'jae Johnson,Flau'jae,flaujae-johnson,4,G,5-10,,"NOV 03, 2003",22.0,R,Louisiana State,1643428,Traded from GSV on 04/13/26,0
1611661328,2026,10,Jade Melbourne,Jade,jade-melbourne,5,G,5-10,145,"AUG 18, 2002",23.0,3,                                   ,1631141,Signed on 04/12/26,0
1611661328,2026,10,Zia Cooke,Zia,zia-cooke,7,G,5-9,163,"JAN 09, 2001",25.0,3,South Carolina,1641660,Signed on 08/18/25,0
1611661328,2026,10,Awa Fam,Awa,awa-fam,11,C,6-4,,"JUN 17, 2006",20.0,R,,1643443,#3 Pick in 2026 Draft,0
1611661328,2026,10,Ezi Magbegor,Ezi,ezi-magbegor,13,F-C,6-6,181,"AUG 13, 1999",27.0,6,Melbourne,1629496,#12 Pick in 2019 Draft,0
1611661328,2026,10,Dominique Malonga,Dominique,dominique-malonga,14,C,6-6,,"NOV 16, 2005",20.0,1,,1642798,#2 Pick in 2025 Draft,0
1611661328,2026,10,Taina Mair,Taina,taina-mair,22,G,5-9,,"NOV 20, 2003",22.0,R,Duke,1643473,#14 Pick in 2026 Draft,1
1611661328,2026,10,Jordan Horston,Jordan,jordan-horston,23,F,6-2,165,"MAY 21, 2001",25.0,2,Tennessee,1641651,#9 Pick in 2023 Draft,0
1611661328,2026,10,Stefanie Dolson,Stefanie,stefanie-dolson,31,C,6-5,235,"JAN 08, 1992",34.0,12,Connecticut,203828,Signed on 04/12/26,0
1611661328,2026,10,Katie Lou Samuelson,Katie Lou,katie-lou-samuelson,33,G,6-3,163,"JUN 13, 1997",29.0,5,Connecticut,1629478,Signed on 02/21/25,0
1611661328,2026,10,Mackenzie Holmes,Mackenzie,mackenzie-holmes,54,F,6-3,,"NOV 01, 2000",25.0,1,Indiana,1642307,#26 Pick in 2024 Draft,0
